Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,747,499,724,588,91.9238815543
1,744,499,724,588,91.2195154558
2,744,502,723,589,89.4986033411
3,740,504,720,592,90.2441133814
4,739,504,719,590,88.2949602186
5,735,505,717,590,86.884981441
6,734,505,715,590,87.0976463517
7,733,506,714,589,85.1469318296
8,734,506,715,590,86.1220064792
9,735,504,714,590,88.5268320906
10,736,505,715,590,87.5556965594
11,738,506,715,591,88.056799851
12,739,507,716,592,88.056799851
13,740,506,717,591,88.056799851
14,742,507,717,590,86.6833317311
15,742,506,718,589,86.4002314812
16,744,505,719,587,85.7263086806
17,744,505,718,588,86.9770084563
18,744,504,717,586,86.3307592924
19,743,504,716,587,87.2811548961
20,742,504,715,589,89.185200566
21,739,505,715,587,85.4400374532
22,738,504,713,586,85.7263086806
23,738,504,712,586,86.0232526704
24,737,503,712,586,86.6833317311
25,737,502,712,585,86.6833317311
26,737,501,712,584,86.6833317311
27,738,501,713,582,84.7702778101
28,737,499,712,580,84.7702778101
29,736,498,711,578,83.8152730712
30,738,497,712,578,85.0705589496
31,737,497,712,579,85.7263086806
32,738,498,713,578,83.8152730712
33,737,497,711,578,85.0705589496
34,738,497,713,578,84.7702778101
35,737,497,710,578,85.3814968245
36,738,497,712,577,84.1189633793
37,738,496,712,577,85.0705589496
38,738,494,713,574,83.8152730712
39,740,493,714,574,85.0705589496
40,740,490,716,571,84.480767042
41,740,487,716,570,86.4002314812
42,741,485,718,568,86.1278120005
43,742,483,719,566,86.1278120005
44,741,480,719,565,87.800911157
45,742,478,720,565,89.7385090137
46,742,477,721,564,89.4986033411
47,742,474,722,563,91.2195154558
48,742,473,722,564,93.1718841711
49,743,469,724,562,94.9210198007
50,744,466,724,560,96.1041102139
51,744,460,724,560,101.9803902719
52,745,456,724,558,104.1393297463
53,744,452,724,558,107.8702924813
54,744,449,726,557,109.4897255454
55,742,448,726,559,112.1472246647
56,741,447,725,557,111.1575458527
57,741,445,725,556,112.1472246647
58,739,445,724,556,112.0089282156
59,739,446,724,555,110.0272693472
60,738,445,723,554,110.0272693472
61,738,445,723,554,110.0272693472
62,737,445,722,554,110.0272693472
63,734,444,721,554,110.7655181002
64,733,445,721,554,109.6585609973
65,731,443,720,554,111.5437134042
66,727,441,718,553,112.3610252712
67,724,440,716,552,112.2853507809
68,718,438,712,554,116.1550687659
69,711,434,707,557,123.0650234632
70,707,431,705,557,126.0158720162
71,703,424,704,557,133.0037593454
72,700,417,704,559,142.0563268566
73,693,409,697,558,149.053681605
74,688,400,692,556,156.051273625
75,685,390,690,543,153.081677545
76,682,382,687,537,155.0806241927
77,681,380,688,536,156.1569723067
78,681,378,691,540,162.3083485222
79,679,376,689,544,168.2973558913
80,677,375,690,546,171.4934401078
81,675,379,689,550,171.5721422609
82,668,382,683,548,166.676333053
83,659,383,677,553,170.9502851709
84,652,383,671,557,175.0342823563
85,651,388,671,559,172.1656179381
86,655,396,677,557,162.4961538006
87,651,401,677,555,156.1793840428
88,649,406,681,553,150.4426801144
89,653,409,686,550,144.8102206338
90,653,412,689,551,143.5862110371
91,657,413,692,550,141.4001414426
92,657,414,693,551,141.6509795236
93,659,416,695,552,140.6840431606
94,660,416,696,552,140.6840431606
95,661,415,697,551,140.6840431606
96,666,414,699,549,138.9748178628
97,673,409,703,547,141.2232275513
98,681,405,706,546,143.1991620087
99,696,405,715,543,139.3018305695
100,705,399,718,539,140.6022759417
101,714,394,722,539,145.2205219657
102,722,391,726,532,141.0567261778
103,728,387,730,532,145.0137924475
104,733,384,729,528,144.055544843
105,736,382,730,520,138.1303731987
106,736,377,727,518,141.2869420718
107,735,375,724,514,139.4345724704
108,733,373,722,509,136.4441277593
109,734,371,721,508,137.6154061143
110,735,369,722,505,136.6199107012
111,737,368,725,500,132.5443322062
112,738,364,726,495,131.5484701545
113,739,361,727,492,131.5484701545
114,738,360,727,491,131.4610208389
115,736,359,726,488,129.3870163502
116,734,356,724,485,129.3870163502
117,731,355,722,486,131.3087963542
118,726,354,717,487,133.3041634759
119,723,352,712,490,138.4377116251
120,719,350,710,489,139.2910621684
121,716,350,707,490,140.2889874509
122,713,349,707,489,140.1285124448
123,711,348,704,487,139.1761473817
124,709,350,703,485,135.1332675547
125,708,352,701,483,131.1868895889
126,710,349,702,479,130.2459212413
127,711,351,702,475,124.3261838874
128,714,356,706,474,118.2708755358
129,713,358,704,474,116.3486140871
130,714,359,706,474,115.2779250334
131,713,360,703,474,114.4377560074
132,713,360,704,474,114.3547113153
133,712,360,704,474,114.2803570173
134,714,360,707,475,115.2128465059
135,713,359,706,483,124.1974234837
136,710,361,703,488,127.19276709
137,711,361,705,487,126.1427762498
138,711,359,705,485,126.1427762498
139,710,358,705,483,125.099960032
140,710,358,702,483,125.2557383915
141,709,356,700,480,124.3261838874
142,706,352,696,475,123.405834546
143,705,352,694,471,119.5073219514
144,705,353,693,470,117.6137747035
145,703,355,691,470,115.6243918903
146,702,359,689,472,113.7453295744
147,701,361,689,473,112.6410227226
148,700,363,689,475,112.5388821697
149,699,366,689,476,110.4536101719
150,697,368,690,477,109.2245393673
151,695,370,688,483,113.2166065558
152,694,373,685,489,116.3486140871
153,693,377,685,493,116.27553483
154,693,377,685,493,116.27553483
155,692,376,684,493,117.2731853409
156,692,376,683,490,114.3547113153
157,694,377,684,487,110.4536101719
158,694,376,683,487,111.5437134042
159,692,371,680,485,114.6298390473
160,692,372,681,483,111.5437134042
161,691,372,681,480,108.4619749036
162,693,371,682,479,108.55873986
163,694,374,683,481,107.5639344762
164,694,375,683,481,106.5692263273
165,693,375,683,482,107.4662737793
166,693,375,684,483,108.3743512091
167,692,375,683,485,110.3675676999
168,689,376,680,491,115.3516363126
169,689,378,679,496,118.4229707447
170,688,378,677,499,121.4989711891
171,684,378,674,497,119.419428905
172,682,375,671,495,120.503111993
173,682,373,671,488,115.5248890932
174,680,369,669,485,116.5203844827
175,680,368,672,483,115.2779250334
176,681,367,672,481,114.3547113153
177,682,368,673,482,114.3547113153
178,681,369,673,484,115.2779250334
179,681,370,672,485,115.3516363126
180,679,370,671,485,115.2779250334
181,677,369,670,486,117.2092146548
182,675,369,669,491,122.1474518768
183,675,372,668,494,122.2006546627
184,674,376,667,502,126.1942946412
185,672,377,665,507,130.1883251294
186,670,379,665,510,131.0953851209
187,671,380,665,510,130.13838788
188,670,378,663,505,127.19276709
189,668,373,660,497,124.2577965361
190,667,369,656,495,126.4792473096
191,665,367,656,488,121.3342490808
192,666,365,658,486,121.2641744292
193,667,365,658,485,120.3370267208
194,669,365,660,485,120.3370267208
195,671,366,661,485,119.419428905
196,673,367,664,487,120.3370267208
197,675,368,666,487,119.3398508462
198,678,367,669,488,121.3342490808
199,678,369,668,491,122.4091499848
200,679,369,669,495,126.3962024746
201,679,371,668,501,130.4645545733
202,677,372,665,505,133.5402561028
203,676,372,664,504,132.5443322062
204,677,371,665,501,130.5526713629
205,676,371,665,501,130.4645545733
206,675,368,666,498,130.3111660603
207,677,365,668,494,129.3135723735
208,680,365,669,489,124.4869471069
209,681,366,669,488,122.5887433658
210,682,367,669,488,121.6963434126
211,683,368,672,488,120.503111993
212,685,370,674,489,119.5073219514
213,685,371,674,491,120.503111993
214,686,373,676,491,118.4229707447
215,688,372,677,495,123.4908903523
216,691,374,680,500,126.4792473096
217,689,374,678,504,130.4645545733
218,688,374,676,507,133.5402561028
219,687,373,673,506,133.7348122218
220,688,372,673,506,134.8369385591
221,689,371,672,504,134.0820644232
222,690,370,674,500,130.9809146403
223,690,367,676,495,128.7633488226
224,691,367,679,491,124.5792920192
225,691,368,681,489,121.4125199475
226,691,368,682,488,120.3370267208
227,691,369,681,490,121.4125199475
228,691,369,680,491,122.4948978529
229,691,370,682,491,121.3342490808
230,691,371,682,491,120.3370267208
231,692,370,683,490,120.3370267208
232,694,372,683,496,124.4869471069
233,694,374,684,503,129.3870163502
234,692,375,682,507,132.378245947
235,691,375,681,509,134.3726162579
236,690,374,681,509,135.2996674054
237,689,373,682,508,135.1813596618
238,691,373,684,504,131.1868895889
239,695,372,691,500,128.0624847487
240,697,371,692,494,123.1015840678
241,697,370,689,493,123.2598880415
242,697,371,687,493,122.4091499848
243,697,371,686,492,121.4989711891
244,697,374,686,493,119.5073219514
245,698,375,686,494,119.6035116541
246,698,375,685,494,119.7079780132
247,699,374,686,494,120.7021126576
248,699,373,688,495,122.4948978529
249,700,375,687,500,125.674181915
250,700,376,689,505,129.4681427997
251,699,376,688,506,130.4645545733
252,699,376,687,509,133.5402561028
253,697,377,684,509,132.6386067478
254,698,376,685,507,131.6434578701
255,698,376,684,507,131.7459676802
256,697,374,682,499,125.8967831201
257,694,373,681,496,123.6850839835
258,695,375,683,494,119.6035116541
259,698,376,686,494,118.6086000255
260,699,378,686,496,118.7139418939
261,699,379,686,497,118.7139418939
262,699,381,687,498,117.6137747035
263,700,381,688,499,118.6086000255
264,700,381,687,498,117.7200067958
265,699,380,686,498,118.7139418939
266,698,379,685,502,123.6850839835
267,698,380,686,507,127.5656693629
268,697,379,684,511,132.6386067478
269,694,379,682,513,134.5362404707
270,693,377,682,509,132.4575403667
271,692,376,682,510,134.3726162579
272,693,375,682,507,132.4575403667
273,693,373,685,501,128.2497563351
274,692,373,679,497,124.6795893481
275,692,375,678,495,120.8139064843
276,692,377,678,496,119.8206993804
277,694,379,680,499,120.8139064843
278,695,383,680,499,116.9658069694
279,697,385,682,500,115.9741350474
280,698,389,682,501,113.1370849898
281,700,393,685,504,112.0089282156
282,701,395,688,508,113.7453295744
283,702,399,690,513,114.6298390473
284,703,402,690,518,116.7261752993
285,701,406,689,525,119.6035116541
286,701,409,688,525,116.7261752993
287,700,411,688,527,116.6190378969
288,698,412,688,528,116.4302366226
289,697,412,691,524,112.1605991425
290,698,410,693,521,111.1125555462
291,697,409,690,518,109.2245393673
292,695,411,684,518,107.5639344762
293,694,411,683,517,106.5692263273
294,694,411,683,515,104.5801128322
295,694,409,681,514,105.8017013096
296,695,410,682,516,106.7941945988
297,694,411,682,515,104.6900186264
298,696,410,683,516,106.7941945988
299,696,410,683,522,112.7519401163
300,695,410,682,522,112.7519401163
301,695,411,681,527,116.8417733518
302,695,411,681,528,117.8346298844
303,694,411,680,528,117.8346298844
304,693,410,678,529,119.9416524815
305,693,408,676,526,119.2182871878
306,692,406,672,525,120.6689686705
307,692,406,670,521,117.0854388897
308,692,405,671,518,114.9347641056
309,692,404,674,513,110.4762417898
310,693,404,677,511,108.1896483033
311,695,405,679,512,108.1896483033
312,696,405,680,514,110.1680534456
313,695,406,680,514,109.0366910723
314,695,407,681,515,108.9036271205
315,695,408,681,516,108.9036271205
316,695,407,682,518,111.7586685676
317,694,408,683,521,113.5341358359
318,693,408,680,525,117.7200067958
319,691,409,678,528,119.7079780132
320,690,410,679,529,119.5073219514
321,690,411,680,529,118.4229707447
322,688,411,680,528,117.2731853409
