Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,740,330,720,438,109.836241742
1,744,333,722,437,106.3014581273
2,747,331,723,437,108.6830253535
3,748,331,724,438,109.6585609973
4,747,332,723,438,108.6830253535
5,747,334,723,439,107.7079384261
6,745,336,720,441,107.9351657246
7,743,339,719,444,107.7079384261
8,741,340,720,443,105.1189802081
9,740,341,720,444,104.9237818609
10,741,341,720,443,104.1393297463
11,741,341,721,444,104.9237818609
12,740,340,721,443,104.7377677822
13,741,339,722,443,105.7213318115
14,742,338,722,443,106.8877916322
15,744,337,723,442,107.0794097854
16,745,334,724,440,108.0601684248
17,749,326,727,435,111.1980215651
18,750,323,728,433,112.178429299
19,751,318,729,433,117.0854388897
20,751,317,728,433,118.2581921052
21,751,315,728,431,118.2581921052
22,751,313,728,429,118.2581921052
23,751,311,728,429,120.2206305091
24,751,310,728,427,119.2392552811
25,750,307,728,427,122.0
26,751,306,729,425,121.0165277968
27,750,304,729,424,121.8236430255
28,751,302,731,423,122.6417547167
29,750,301,731,422,122.4826518328
30,751,301,733,422,122.3315167894
31,751,302,733,421,120.3536455617
32,750,302,733,421,120.2081528017
33,749,302,732,423,122.1883791528
34,749,303,732,424,122.1883791528
35,745,305,729,424,120.07081244
36,743,308,728,426,118.9495691459
37,743,309,727,426,118.0889495253
38,742,310,726,428,119.0798051728
39,741,312,726,427,115.9741350474
40,741,312,726,428,116.9658069694
41,740,313,725,428,115.9741350474
42,741,313,725,429,117.0982493464
43,741,314,724,428,115.2605743522
44,741,315,723,430,116.4001718212
45,741,315,724,429,115.2605743522
46,740,316,723,430,115.2605743522
47,740,316,723,430,115.2605743522
48,740,317,723,431,115.2605743522
49,738,317,722,431,115.1173314493
50,736,317,721,432,115.9741350474
51,736,318,720,433,116.1077086158
52,735,319,721,432,113.8639539099
53,735,320,723,432,112.6410227226
54,735,320,724,432,112.5388821697
55,736,321,726,433,112.445542375
56,737,320,727,433,113.4416149391
57,739,320,728,432,112.5388821697
58,740,320,728,432,112.6410227226
59,742,321,729,433,112.7519401163
60,743,321,729,433,112.8716084762
61,744,322,730,435,113.8639539099
62,744,323,729,433,111.0180165559
63,743,323,728,434,112.0089282156
64,743,324,728,435,112.0089282156
65,743,324,729,435,111.8793993548
66,743,324,729,435,111.8793993548
67,743,324,729,436,112.8716084762
68,743,325,729,436,111.8793993548
69,744,324,730,436,112.8716084762
70,745,325,730,435,111.0180165559
71,745,325,730,436,112.0089282156
72,746,326,730,436,111.1575458527
73,745,325,729,436,112.1472246647
74,744,325,730,436,111.8793993548
75,744,325,730,435,110.887330205
76,743,326,730,436,110.7655181002
77,743,326,730,436,110.7655181002
78,743,328,730,437,109.7724920005
79,742,329,729,438,109.7724920005
80,742,329,729,437,108.7795936745
81,740,331,729,440,109.55363983
82,740,332,729,439,107.5639344762
83,739,332,729,441,109.4577544078
84,738,333,729,440,107.3778375644
85,738,333,729,442,109.3709284956
86,738,335,729,442,107.3778375644
