Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,745,385,720,475,93.4077084613
1,743,385,720,476,93.8616002421
2,742,384,720,477,95.5667306127
3,741,385,720,476,93.3916484489
4,741,384,721,477,95.1262319237
5,740,385,721,476,92.9623579735
6,740,383,722,476,94.7259204231
7,740,383,722,476,94.7259204231
8,739,382,722,476,95.5248658727
9,739,381,722,475,95.5248658727
10,739,380,722,474,95.5248658727
11,738,381,722,475,95.3519795285
12,738,380,721,475,96.5090669316
13,737,381,720,476,96.5090669316
14,736,383,718,475,93.7443331621
15,735,384,717,477,94.7259204231
16,731,386,714,477,92.5742944883
17,730,385,713,477,93.5574689696
18,729,386,713,478,93.3809402394
19,728,387,713,478,92.2279784014
20,728,386,715,478,92.9139386745
21,728,386,715,479,93.9042065085
22,731,388,717,478,91.0823802939
23,731,390,718,480,90.9340420305
24,732,392,719,481,89.9444272871
25,732,393,718,482,90.0943949422
26,731,395,718,482,87.965902485
27,730,396,717,483,87.965902485
28,730,396,717,483,87.965902485
29,729,396,716,484,88.955044826
30,728,396,716,481,85.842879728
31,729,398,716,483,85.9883713068
32,730,398,716,483,86.1452262171
33,730,398,716,482,85.1586754242
34,730,398,717,482,85.0
35,731,398,717,482,85.1586754242
36,732,397,717,482,86.3133825082
37,734,398,717,482,85.7029754443
38,735,398,718,482,85.7029754443
39,735,399,719,483,85.5102333057
40,737,400,720,483,84.7230783199
41,736,400,721,483,84.3445315358
42,736,402,721,483,82.3771813065
43,738,402,721,484,83.7436564762
44,738,402,722,485,84.528101836
45,738,403,721,485,83.7436564762
46,740,401,722,484,84.9293824303
47,742,403,723,485,84.1724420461
48,742,403,723,486,85.1469318296
49,742,403,723,485,84.1724420461
50,742,404,723,486,84.1724420461
51,741,404,722,487,85.1469318296
52,739,404,721,487,84.9293824303
53,737,405,719,488,84.9293824303
54,735,406,718,489,84.7230783199
55,734,407,718,488,82.5651258099
56,734,406,718,488,83.5463942968
57,733,408,717,488,81.5843122175
58,734,407,718,488,82.5651258099
59,736,407,719,488,82.7647267862
60,737,409,719,488,81.0246875958
61,738,409,721,489,81.7863069224
62,741,409,720,488,81.7435012707
63,740,409,720,488,81.4923309275
64,741,410,721,489,81.4923309275
65,741,409,722,488,81.2526922631
66,741,408,722,487,81.2526922631
67,740,407,722,487,82.0
68,739,406,721,486,82.0
69,739,406,721,486,82.0
70,740,405,722,486,82.9759001156
71,742,404,723,486,84.1724420461
72,743,406,722,486,82.710337927
73,743,407,722,486,81.7435012707
74,744,405,722,486,83.934498271
75,744,406,722,486,82.9698740508
76,743,405,722,487,84.6463230152
77,744,403,723,487,86.585218138
78,744,403,723,486,85.615419172
79,743,403,722,486,85.615419172
80,741,404,720,486,84.6463230152
81,739,404,719,487,85.375640554
82,738,404,719,487,85.1469318296
83,738,406,720,487,82.9759001156
84,737,407,718,487,82.2253002427
85,735,407,717,488,82.9759001156
86,734,408,716,488,82.0
87,732,409,714,489,82.0
88,730,409,713,489,81.7863069224
89,729,408,713,490,83.5463942968
90,728,409,713,490,82.3771813065
91,727,407,712,491,85.32877592
92,728,407,714,490,84.1724420461
93,729,407,713,490,84.528101836
94,730,406,714,489,84.528101836
95,731,405,715,489,85.5102333057
96,733,406,716,489,84.7230783199
97,733,404,716,489,86.6833317311
98,733,404,717,488,85.5102333057
99,734,404,717,489,86.6833317311
100,733,404,717,488,85.5102333057
101,732,405,717,488,84.3445315358
102,732,404,717,488,85.32877592
103,734,402,718,487,86.4927742647
104,735,402,719,487,86.4927742647
105,736,402,719,487,86.6833317311
106,736,402,720,486,85.5102333057
107,737,400,720,486,87.6641317758
108,737,400,720,485,86.6833317311
109,737,399,721,485,87.4757109145
110,738,399,721,486,88.6453608487
111,739,399,721,486,88.8425573698
112,740,399,721,485,88.0738326633
113,740,397,721,485,90.0277734924
114,740,397,721,485,90.0277734924
115,738,396,719,484,90.0277734924
116,736,396,718,484,89.8220462915
117,734,396,717,485,90.6090503206
118,733,395,716,484,90.6090503206
119,732,395,716,484,90.426765949
120,731,395,715,484,90.426765949
121,730,395,715,484,90.2551937564
122,730,395,715,484,90.2551937564
123,729,393,714,484,92.2279784014
124,728,393,714,483,91.0823802939
125,728,391,714,482,92.0706250658
126,729,390,716,482,92.9139386745
127,729,389,716,481,92.9139386745
128,730,387,716,480,94.0478601564
129,731,388,716,480,93.2148056909
130,732,387,717,480,94.2019108086
131,732,387,717,478,92.2279784014
132,732,386,718,479,94.0478601564
133,734,385,720,478,94.0478601564
134,734,383,719,478,96.1769203084
135,735,384,720,477,94.2019108086
136,735,382,720,476,95.1892851113
137,737,382,720,476,95.5248658727
138,738,382,721,478,97.4935895329
139,737,380,720,476,97.4935895329
140,738,380,721,476,97.4935895329
141,738,379,721,476,98.4784240329
142,738,377,721,475,99.4635611669
143,737,377,721,476,100.2845950283
144,738,375,721,475,101.4347080639
145,737,373,721,475,103.2472759931
146,737,372,720,473,102.4207010326
147,735,372,720,474,103.0970416646
148,734,371,721,474,103.817146946
149,733,371,720,473,102.8250942134
150,731,370,719,473,103.6966730421
151,730,370,719,472,102.5914226434
152,729,370,719,472,102.4890238026
153,727,369,718,472,103.3924562045
154,724,368,717,472,104.2353107157
155,723,368,717,473,105.1712888577
156,722,368,717,474,106.1178590059
157,722,368,717,473,105.1189802081
158,720,369,717,475,106.0424443324
159,717,369,716,475,106.0047168762
160,717,370,716,476,106.0047168762
161,717,371,716,479,108.0046295304
162,717,373,716,481,108.0046295304
163,715,375,714,485,110.0045453606
164,712,376,712,485,109.0
165,710,378,711,487,109.0045870594
166,706,379,709,490,111.0405331399
167,704,379,707,493,114.0394668525
168,701,380,706,497,117.1067888724
169,699,378,704,502,124.1007655093
170,693,375,698,512,137.0912105133
171,692,365,697,513,148.0844353739
172,687,357,691,510,153.0522786501
173,682,347,683,503,156.0032050953
174,676,332,676,493,161.0
175,673,324,675,487,163.0122694769
176,675,319,675,491,172.0
177,673,323,672,491,168.0029761641
