Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,692,335,691,460,125.0039999
1,690,340,688,456,116.0172401
2,690,339,688,458,119.0168055
3,691,340,687,460,120.0666482
4,691,340,688,460,120.0374941
5,692,341,688,460,119.0672079
6,691,340,688,460,120.0374941
7,691,341,688,461,120.0374941
8,691,340,688,460,120.0374941
9,691,339,688,461,122.0368797
10,691,339,688,460,121.0371844
11,692,338,688,460,122.0655562
12,691,338,688,459,121.0371844
13,691,337,687,460,123.0650235
14,691,337,688,462,125.0359948
15,690,338,690,463,125
16,689,339,689,467,128
17,690,341,690,468,127
18,691,342,690,469,127.0039369
19,693,342,693,471,129
20,694,342,695,470,128.0039062
21,695,342,695,473,131
22,696,343,696,473,130
23,695,341,696,473,132.0037878
24,695,341,695,470,129
25,696,341,694,465,124.016128
26,696,340,694,460,120.0166655
27,696,339,692,458,119.0672079
28,696,340,691,457,117.1067889
29,696,341,691,457,116.1077086
30,696,343,691,459,116.1077086
31,696,343,691,459,116.1077086
32,695,343,690,458,115.1086443
33,695,344,691,460,116.068945
34,695,344,693,460,116.0172401
35,695,348,693,463,115.01739
36,694,349,692,471,122.0163923
37,694,350,691,474,124.036285
38,694,352,691,478,126.0357092
39,695,352,692,478,126.0357092
40,694,352,691,478,126.0357092
41,693,351,688,475,124.1007655
42,691,347,686,469,122.102416
43,690,346,685,465,119.1049957
44,689,347,685,466,119.0672079
45,689,348,686,463,115.0391238
46,689,348,686,463,115.0391238
47,689,349,686,464,115.0391238
48,688,349,685,464,115.0391238
49,688,348,685,464,116.0387866
50,688,349,685,465,116.0387866
51,688,349,685,464,115.0391238
52,687,349,686,464,115.0043477
53,687,349,685,466,117.0170928
54,687,350,682,473,123.1015841
55,684,351,678,480,129.1394595
56,683,353,679,482,129.0620006
57,682,351,678,484,133.0601368
58,683,351,680,482,131.0343466
59,683,349,679,484,135.0592463
60,684,350,681,478,128.0351514
61,685,347,682,472,125.0359948
62,688,346,686,466,120.0166655
63,688,344,684,463,119.0672079
64,689,343,685,461,118.0677771
65,689,342,685,460,118.0677771
66,688,342,683,461,119.1049957
67,688,342,683,460,118.1058847
68,688,342,683,460,118.1058847
69,688,342,684,460,118.0677771
70,687,342,683,460,118.0677771
71,687,344,681,468,124.1450764
72,685,346,677,474,128.2497563
73,684,347,677,478,131.1868896
74,686,348,677,480,132.3064624
75,687,348,677,481,133.37541
76,686,347,677,476,129.3135724
77,688,346,680,469,123.259888
78,686,347,678,465,118.2708755
79,686,347,676,463,116.4302366
80,684,347,673,462,115.5248891
81,682,346,672,461,115.4339638
82,681,347,671,462,115.4339638
83,679,347,669,462,115.4339638
84,677,345,667,460,115.4339638
85,674,343,667,461,118.2074448
86,672,342,666,462,120.1499064
87,669,343,664,468,125.09996
88,664,344,660,472,128.0624847
89,662,343,657,472,129.0968629
90,659,342,656,473,131.0343466
91,658,341,656,471,130.0153837
92,658,340,658,464,124
93,658,338,657,460,122.0040983
94,659,338,655,459,121.0660976
95,661,340,655,457,117.1537451
96,663,342,658,457,115.1086443
97,664,344,658,459,115.1564154
98,666,346,659,460,114.2147101
99,667,347,661,462,115.1564154
100,668,346,664,463,117.0683561
