Frame,Nose_Tip_X,Nose_Tip_Y,Chin_X,Chin_Y,Distance
0,705,368,706,489,121.0041322
1,708,376,709,495,119.0042016
2,708,379,708,502,123
3,712,380,709,507,127.0354281
4,713,382,709,508,126.0634761
5,713,382,707,508,126.1427762
6,714,384,708,510,126.1427762
7,713,386,707,510,124.1450764
8,712,388,706,511,123.1462545
9,713,390,707,512,122.1474519
10,712,392,707,514,122.102416
11,712,394,707,516,122.102416
12,713,396,709,515,119.0672079
13,714,397,711,512,115.0391238
14,715,398,713,508,110.0181803
15,716,399,713,507,108.0416586
16,717,401,715,508,107.01869
17,717,405,714,511,106.0424443
18,719,406,716,511,105.0428484
19,719,409,716,514,105.0428484
20,720,410,717,515,105.0428484
21,720,411,717,516,105.0428484
22,719,412,717,516,104.019229
23,719,416,717,524,108.0185169
24,717,414,716,523,109.0045871
25,717,415,716,529,114.0043859
26,716,417,715,531,114.0043859
27,718,417,719,532,115.0043477
28,719,417,721,530,113.0176977
29,719,416,722,528,112.0401714
30,720,415,721,525,110.0045454
31,719,415,720,525,110.0045454
32,718,418,717,524,106.0047169
33,716,421,715,523,102.0049018
34,715,422,713,523,101.0198
35,713,423,712,526,103.0048543
36,712,425,711,527,102.0049018
37,711,425,711,527,102
38,710,425,711,529,104.0048076
39,710,425,713,529,104.0432602
40,709,425,713,531,106.0754448
41,707,425,712,534,109.1146186
42,708,426,715,535,109.2245394
43,710,428,720,534,106.4706532
44,712,431,724,536,105.6834897
45,715,432,726,537,105.5746182
46,718,434,727,535,101.4001972
47,721,436,726,534,98.12746812
48,723,437,727,539,102.0784012
49,725,440,727,542,102.019606
50,728,442,728,543,101
51,731,442,730,542,100.0049999
52,731,443,731,543,100
53,732,443,731,543,100.0049999
54,733,441,734,542,101.0049504
55,734,438,734,549,111
56,736,439,735,554,115.0043477
57,735,438,733,554,116.0172401
58,736,437,733,555,118.0381294
59,738,438,736,555,117.0170928
60,739,435,739,551,116
61,739,435,739,547,112
62,742,435,740,548,113.0176977
63,742,434,740,547,113.0176977
64,743,436,740,546,110.0409015
65,742,437,738,547,110.0727032
66,740,437,735,546,109.1146186
67,737,437,732,544,107.1167587
68,730,433,726,542,109.0733698
69,723,432,720,540,108.0416586
70,716,430,713,543,113.039816
71,709,428,706,542,114.0394669
72,705,425,701,540,115.0695442
73,699,423,695,534,111.0720487
74,694,422,690,531,109.0733698
75,690,420,686,530,110.0727032
76,689,419,686,526,107.0420478
77,689,421,685,525,104.0768947
78,688,423,684,527,104.0768947
79,688,426,683,529,103.1212878
80,688,426,683,530,104.1201229
81,688,427,682,530,103.1746093
82,688,427,681,531,104.2353107
83,686,428,681,531,103.1212878
84,687,427,681,530,103.1746093
85,686,428,681,530,102.1224755
86,686,429,683,533,104.0432602
87,687,429,683,534,105.0761629
88,688,429,685,534,105.0428484
89,689,428,686,533,105.0428484
90,690,428,686,528,100.079968
91,691,428,688,526,98.04590761
92,690,428,687,526,98.04590761
93,689,428,685,526,98.08159868
94,690,429,686,529,100.079968
95,690,430,687,528,98.04590761
96,691,429,687,528,99.08077513
97,691,429,688,527,98.04590761
98,692,429,689,528,99.04544412
99,692,428,690,528,100.019998
100,693,430,692,532,102.0049018
101,692,429,690,536,107.01869
102,692,430,690,539,109.0183471
103,693,430,690,538,108.0416586
104,694,429,691,535,106.0424443
105,694,427,691,534,107.0420478
106,695,427,690,532,105.1189802
107,696,428,691,531,103.1212878
108,698,427,693,530,103.1212878
